Vendor ID,Vendor Zip Code,Vendor Suburb,Vendor State,Vendor Region
26872,2645,URANA,NSW,Southern
9172,2656,URANGELINE,NSW,Eastern
9172,2656,URANGELINE EAST,NSW,Eastern
144388,5573,URANIA,SA,Central
9172,2652,URANQUINTY,NSW,Eastern
148744,2829,URAWILKIE,NSW,Eastern
26460,2611,URIARRA,ACT,Eastern
26460,2611,URIARRA VILLAGE,ACT,Eastern
149992,2620,URILA,NSW,Eastern
31348,5064,URRBRAE,SA,Central
20364,2455,URUNGA,NSW,Eastern
148044,6537,USELESS LOOP,WA,Western
3796,6230,USHER,WA,Western
27328,6530,UTAKARRA,WA,Western
151468,2447,UTUNGUN,NSW,Eastern
31216,5690,UWORRA,SA,Central
57844,7140,UXBRIDGE,TAS,Southern
176,2421,VACY,NSW,Eastern
11836,2790,VALE OF CLWYDD,NSW,Eastern
9996,5081,VALE PARK,SA,Central
4152,3860,VALENCIA CREEK,VIC,Southern
148112,2280,VALENTINE,NSW,Eastern
27328,6532,VALENTINE,WA,Western
20364,2454,VALERY,NSW,Eastern
20364,2448,VALLA,NSW,Eastern
20364,2448,VALLA BEACH,NSW,Eastern
144488,2777,VALLEY HEIGHTS,NSW,Eastern
9996,5093,VALLEY VIEW,SA,Central
149208,6330,VANCOUVER PENINSULA,WA,Western
146008,6355,VARLEY,WA,Western
16816,2566,VARROVILLE,NSW,Eastern
20968,3407,VASEY,VIC,Southern
216352,6280,VASSE,WA,Western
149700,2030,VAUCLUSE,NSW,Eastern
145568,3451,VAUGHAN,VIC,Southern
148960,3401,VECTIS,VIC,Southern
145488,5311,VEITCH,SA,Central
151516,852,VENN,NT,Central
150676,3922,VENTNOR,VIC,Southern
150676,3956,VENUS BAY,VIC,Southern
31216,5607,VENUS BAY,SA,Central
25900,5245,VERDUN,SA,Central
151468,2440,VERGES CREEK,NSW,Eastern
216632,3133,VERMONT,VIC,Southern
216632,3133,VERMONT SOUTH,VIC,Southern
147368,822,VERNON ISLANDS,NT,Central
151412,2550,VERONA,NSW,Eastern
57844,7112,VERONA SANDS,TAS,Southern
147840,5603,VERRAN,SA,Central
204792,3814,VERVALE,VIC,Southern
151528,2358,MIHI,NSW,Eastern
23528,2632,MILA,NSW,Eastern
12560,7325,MILABENA,TAS,Southern
151400,5256,MILANG,SA,Central
23160,3678,MILAWA,VIC,Southern
8820,2330,MILBRODALE,NSW,Eastern
9172,2656,MILBRULONG,NSW,Eastern
151556,3500,MILDURA,VIC,Central
151556,3502,MILDURA,VIC,Central
151556,3501,MILDURA CENTRE PLAZA,VIC,Central
151556,3501,MILDURA SOUTH,VIC,Central
151556,3500,MILDURA WEST,VIC,Central
4284,5031,MILE END,SA,Central
4284,5031,MILE END SOUTH,SA,Central
148388,5237,MILENDELLA,SA,Central
147368,822,MILIKAPITI,NT,Central
204896,6575,MILING,WA,Western
32704,822,MILINGIMBI,NT,Central
149836,2795,MILKERS FLAT,NSW,Eastern
149296,3082,MILL PARK,VIC,Southern
149836,2795,MILLAH MURRAH,NSW,Eastern
57800,6714,MILLARS WELL,WA,Western
151468,2440,MILLBANK,NSW,Eastern
3796,6232,MILLBRIDGE,WA,Western
17316,3352,MILLBROOK,VIC,Southern
9996,5231,MILLBROOK,SA,Central
149208,6330,MILLBROOK,WA,Western
24752,5291,MIL-LEL,SA,Central
149848,6056,MILLENDON,WA,Western
32440,2168,MILLER,NSW,Eastern
151512,7030,MILLERS BLUFF,TAS,Southern
9996,5720,MILLERS CREEK,SA,Central
176,2324,MILLERS FOREST,NSW,Eastern
149700,2000,MILLERS POINT,NSW,Eastern
144368,2325,MILLFIELD,NSW,Eastern
148024,3799,MILLGROVE,VIC,Southern
17404,5280,MILLICENT,SA,Central
18684,2397,MILLIE,NSW,Eastern
151412,2549,MILLINGANDI,NSW,Eastern
147368,810,MILLNER,NT,Central
149624,3572,MILLOO,VIC,Southern
149208,6336,MILLS LAKE,WA,Western
57800,6716,MILLSTREAM,WA,Western
31348,5034,MILLSWOOD,SA,Central
29288,2798,MILLTHORPE,NSW,Eastern
0,3304,MILLTOWN,VIC,Southern
148300,3579,MILNES BRIDGE,VIC,Southern
27328,6525,MILO,WA,Western
149208,6330,MILPARA,WA,Western
148144,2880,MILPARINKA,NSW,Central
151676,1891,MILPERRA,NSW,Eastern
151676,2214,MILPERRA,NSW,Eastern
346552,2380,MILROY,NSW,Eastern
36356,2850,MILROY,NSW,Eastern
144368,2325,MILSONS ARM,NSW,Eastern
150456,2083,MILSONS PASSAGE,NSW,Eastern
149088,1565,MILSONS POINT,NSW,Eastern
149088,2061,MILSONS POINT,NSW,Eastern
149688,5602,MILTALIE,SA,Central
34544,2538,MILTON,NSW,Eastern
8452,2594,MILVALE,NSW,Eastern
32704,822,MILYAKBURRA,NT,Central
204896,6507,MIMEGARRA,WA,Western
6256,872,MIMILI,SA,Central
9172,2666,MIMOSA,NSW,Eastern
149688,5602,MINBRIE,SA,Central
14444,5431,MINBURRA,SA,Central
14444,5431,MINBURRA PLAIN,SA,Central
14444,5431,MINBURRA STATION,SA,Central
149624,3575,MINCHA,VIC,Southern
149624,3568,MINCHA WEST,VIC,Southern
147828,2770,MINCHINBURY,NSW,Eastern
149208,6336,MINDARABIN,WA,Western
176,2320,MINDARIBBA,NSW,Eastern
145488,5309,MINDARIE,SA,Central
145952,6030,MINDARIE,WA,Western
149848,6503,MINDARRA,WA,Western
146008,6315,MINDING,WA,Western
17316,3352,MINERS REST,VIC,Southern
14444,5440,MINGARY,SA,Central
17316,3324,MINGAY,VIC,Southern
24752,5291,MINGBOOL,SA,Central
27328,6522,MINGENEW,WA,Western
149480,3287,MINHAMITE,VIC,Southern
146008,6312,MINIGIN,WA,Western
148044,6701,MINILYA,WA,Western
0,3413,MINIMAY,VIC,Southern
149488,2312,MINIMBAH,NSW,Eastern
148960,3351,MININERA,VIC,Southern
151516,852,MINIYERI,NT,Central
149480,3276,MINJAH,VIC,Southern
15076,2720,MINJARY,NSW,Eastern
149372,2629,OLD ADAMINABY,NSW,Eastern
149488,2430,OLD BAR,NSW,Eastern
57844,7017,OLD BEACH,TAS,Southern
145488,5341,OLD CALPERUM,SA,Central
34544,2540,OLD EROWAL BAY,NSW,Eastern
19376,2161,OLD GUILDFORD,NSW,Eastern
9172,2652,OLD JUNEE,NSW,Eastern
9540,5417,OLD KOOMOOLOO,SA,Central
151528,2369,OLD MILL,NSW,Eastern
4284,5168,OLD NOARLUNGA,SA,Central
204896,6569,OLD PLAINS,WA,Western
4284,5161,OLD REYNELLA,SA,Central
151468,2440,OLD STATION,NSW,Eastern
26872,3701,OLD TALLANGATTA,VIC,Southern
148388,5238,OLD TEAL FLAT,SA,Central
1132,2146,OLD TOONGABBIE,NSW,Eastern
149840,6121,OLDBURY,WA,Western
12560,7325,OLDINA,TAS,Southern
36356,2849,OLINDA,NSW,Eastern
148716,3788,OLINDA,VIC,Southern
144368,2325,OLNEY,NSW,Eastern
9996,5725,OLYMPIC DAM,SA,Central
148808,2337,OMADALE,NSW,Eastern
26460,2606,"O'MALLEY",ACT,Eastern
150272,3241,OMBERSLEY,VIC,Southern
11188,3898,OMEO,VIC,Southern
11188,3898,OMEO VALLEY,VIC,Southern
150272,3249,ONDIT,VIC,Southern
176,2316,ONE MILE,NSW,Eastern
144548,2711,ONE TREE,NSW,Southern
147572,5114,ONE TREE HILL,SA,Central
149208,6336,ONGERUP,WA,Western
4284,5163,ONKAPARINGA HILLS,SA,Central
57800,6710,ONSLOW,WA,Western
14444,5422,OODLA WIRRA,SA,Central
9996,5734,OODNADATTA,SA,Central
11336,2581,OOLONG,NSW,Eastern
146012,2871,OOMA,NSW,Eastern
5196,6740,OOMBULGURRI,WA,Western
12560,7325,OONAH,TAS,Southern
146012,2875,OOTHA,NSW,Eastern
29288,2800,OPHIR,NSW,Eastern
57844,7023,OPOSSUM BAY,TAS,Southern
24856,6431,ORA BANDA,WA,Western
16816,2570,ORAN PARK,NSW,Eastern
149208,6330,ORANA,WA,Western
29288,2800,ORANGE,NSW,Eastern
29288,2800,ORANGE DC,NSW,Eastern
29288,2800,ORANGE EAST,NSW,Eastern
346552,2380,ORANGE GROVE,NSW,Eastern
149840,6109,ORANGE GROVE,WA,Western
29288,2800,ORANGE MOULDER STREET,NSW,Eastern
149848,6503,ORANGE SPRINGS,WA,Western
16816,2570,ORANGEVILLE,NSW,Eastern
9996,5730,ORATUNGA STATION,SA,Central
11188,3888,ORBOST,VIC,Southern
144488,2748,ORCHARD HILLS,NSW,Eastern
146008,6394,ORCHID VALLEY,WA,Western
5196,6770,ORD RIVER,WA,Western
151392,6167,ORELIA,WA,Western
57844,7190,ORFORD,TAS,Southern
149480,3284,ORFORD,VIC,Southern
57844,7172,ORIELTON,TAS,Southern
34544,2540,ORIENT POINT,NSW,Eastern
146588,3204,ORMOND,VIC,Southern
14444,5431,ORROROO,SA,Central
147716,3631,ORRVALE,VIC,Southern
149836,2795,ORTON PARK,NSW,Eastern
9172,2656,OSBORNE,NSW,Eastern
4284,5017,OSBORNE,SA,Central
1824,6017,OSBORNE PARK,WA,Western
1824,6916,OSBORNE PARK,WA,Western
1824,6917,OSBORNE PARK,WA,Western
1824,6017,OSBORNE PARK DC,WA,Western
1824,6916,OSBORNE PARK DC,WA,Western
26872,3691,OSBORNES FLAT,VIC,Southern
151512,7303,OSMASTON,TAS,Southern
216352,6285,OSMINGTON,WA,Western
176,2324,OSTERLEY,NSW,Eastern
57844,7140,OSTERLEY,TAS,Southern
4284,5166,"O'SULLIVAN BEACH",SA,Central
176,2321,OSWALD,NSW,Eastern
57844,7017,OTAGO,TAS,Southern
35236,2508,OTFORD,NSW,Eastern
4284,5013,OTTOWAY,SA,Central
14444,5440,OULNINA,SA,Central
14444,5440,OULNINA PARK,SA,Central
9172,2650,OURA,NSW,Eastern
6492,2258,OURIMBAH,NSW,Eastern
15076,2640,OURNIE,NSW,Eastern
57844,7140,OUSE,TAS,Southern
14444,5440,OUTALPA,SA,Central
4284,5018,OUTER HARBOR,SA,Central
150676,3951,OUTTRIM,VIC,Southern
151556,3490,OUYEN,VIC,Central
23160,3738,OVENS,VIC,Southern
17404,5279,SHORT,SA,Central
149528,2307,SHORTLAND,NSW,Eastern
3796,6225,SHOTTS,WA,Western
9996,5717,SIAM,SA,Central
151512,7270,SIDMOUTH,TAS,Southern
149788,3444,SIDONIA,VIC,Southern
216352,6280,SIESTA PARK,WA,Western
151528,2372,SILENT GROVE,NSW,Eastern
2236,3795,SILVAN,VIC,Southern
204748,6210,SILVER SANDS,WA,Western
144488,2752,SILVERDALE,NSW,Eastern
150676,3922,SILVERLEAVES,VIC,Southern
148144,2880,SILVERTON,NSW,Central
151400,5204,SILVERTON,SA,Central
27004,1811,SILVERWATER,NSW,Eastern
27004,2128,SILVERWATER,NSW,Eastern
149528,2264,SILVERWATER,NSW,Eastern
6256,872,SIMPSON,NT,Central
150272,3266,SIMPSON,VIC,Southern
9996,5734,SIMPSON DESERT,SA,Central
57844,7150,SIMPSONS BAY,TAS,Southern
11188,3888,SIMPSONS CREEK,VIC,Southern
145568,3465,SIMSON,VIC,Southern
145952,6065,SINAGRA,WA,Western
147836,6450,SINCLAIR,WA,Western
8820,2330,SINGLETON,NSW,Eastern
204748,6175,SINGLETON,WA,Western
8820,2330,SINGLETON DC,NSW,Eastern
8820,2330,SINGLETON HEIGHTS,NSW,Eastern
8820,2331,SINGLETON MILITARY AREA,NSW,Eastern
8820,2331,SINGLETON MILPO,NSW,Eastern
147652,2775,SINGLETONS MILL,NSW,Eastern
24856,6437,SIR SAMUEL,WA,Western
12560,7321,SISTERS BEACH,TAS,Southern
12560,7325,SISTERS CREEK,TAS,Southern
150380,6426,SKELETON ROCK,WA,Western
150272,3233,SKENES CREEK,VIC,Southern
150272,3233,SKENES CREEK NORTH,VIC,Southern
150272,3260,SKIBO,VIC,Southern
151468,2440,SKILLION FLAT,NSW,Eastern
145568,3518,SKINNERS FLAT,VIC,Southern
17316,3361,SKIPTON,VIC,Southern
10468,3977,SKYE,VIC,Southern
4284,5072,SKYE,SA,Central
145568,3477,SLATY CREEK,VIC,Southern
147840,5607,SLEAFORD,SA,Central
57844,7186,SLOPING MAIN,TAS,Southern
17316,3364,SMEATON,VIC,Southern
16816,2567,SMEATON GRANGE,NSW,Eastern
149372,2624,SMIGGIN HOLES,NSW,Eastern
4240,6258,SMITH BROOK,WA,Western
19376,2164,SMITHFIELD,NSW,Eastern
147572,5114,SMITHFIELD,SA,Central
147572,5114,SMITHFIELD PLAINS,SA,Central
19376,2164,SMITHFIELD WEST,NSW,Eastern
147572,5114,SMITHFIELD WEST,SA,Central
150676,3922,SMITHS BEACH,VIC,Southern
150524,3760,SMITHS GULLY,VIC,Southern
149488,2428,SMITHS LAKE,NSW,Eastern
12560,7330,SMITHTON,TAS,Southern
151468,2440,SMITHTOWN,NSW,Eastern
17316,3364,SMOKEYTOWN,VIC,Southern
23160,3741,SMOKO,VIC,Southern
31216,5680,SMOKY BAY,SA,Central
17316,3351,SMYTHES CREEK,VIC,Southern
17316,3351,SMYTHESDALE,VIC,Southern
4152,3971,SNAKE ISLAND,VIC,Southern
17316,3351,SNAKE VALLEY,VIC,Southern
146912,2824,SNAKES PLAIN,NSW,Eastern
26460,2622,SNOWBALL,NSW,Eastern
147968,5520,SNOWTOWN,SA,Central
149372,2628,SNOWY PLAIN,NSW,Eastern
57844,7054,SNUG,TAS,Southern
11836,2790,SODWALLS,NSW,Eastern
149836,2795,SOFALA,NSW,Eastern
17316,3350,SOLDIERS HILL,VIC,Southern
176,2317,SOLDIERS POINT,NSW,Eastern
149688,5641,SOLOMON,SA,Central
0,5540,SOLOMONTOWN,SA,Central
149840,6207,SOLUS,WA,Western
149104,3927,SOMERS,VIC,Southern
6492,2250,SOMERSBY,NSW,Eastern
12560,7322,SOMERSET,TAS,Southern
148996,3833,VESPER,VIC,Southern
151400,5211,VICTOR HARBOR,SA,Central
151400,5211,VICTOR HARBOR CENTRAL,SA,Central
23896,6100,VICTORIA PARK,WA,Western
23896,6979,VICTORIA PARK,WA,Western
20968,3294,VICTORIA POINT,VIC,Southern
151516,852,VICTORIA RIVER,NT,Central
24856,6429,VICTORIA ROCK,WA,Western
57844,7140,VICTORIA VALLEY,TAS,Southern
20968,3294,VICTORIA VALLEY,VIC,Southern
24856,6432,VICTORY HEIGHTS,WA,Western
150524,3084,VIEWBANK,VIC,Southern
19376,2163,VILLAWOOD,NSW,Eastern
34544,2540,VINCENTIA,NSW,Eastern
36268,5352,VINE VALE,SA,Central
147652,2765,VINEYARD,NSW,Eastern
148300,3591,VINIFERA,VIC,Southern
149488,2423,VIOLET HILL,NSW,Eastern
149424,3669,VIOLET TOWN,VIC,Southern
147368,834,VIRGINIA,NT,Central
147572,5120,VIRGINIA,SA,Central
9996,5091,VISTA,SA,Central
150272,3325,VITE VITE,VIC,Southern
17316,3325,VITE VITE NORTH,VIC,Southern
149836,2799,VITTORIA,NSW,Eastern
3796,6230,VITTORIA,WA,Western
149848,6056,VIVEASH,WA,Western
151400,5223,VIVONNE BAY,SA,Central
32440,2172,VOYAGER POINT,NSW,Eastern
11188,3885,W TREE,VIC,Southern
140272,3637,WAAIA,VIC,Southern
145568,3551,WAANYARRA,VIC,Southern
149480,3269,WAARRE,VIC,Southern
23160,3678,WABONGA,VIC,Southern
6492,2259,WADALBA,NSW,Eastern
151412,2546,WADBILLIGA,NSW,Eastern
151512,7030,WADDAMANA,TAS,Southern
150380,6369,WADDERIN,WA,Western
149688,5640,WADDIKEE,SA,Central
204896,6509,WADDINGTON,WA,Western
204896,6515,WADDY FOREST,WA,Western
147368,822,WADEYE,NT,Central
14444,5440,WADNAMINGA,SA,Central
150380,6407,WAEEL,WA,Western
147368,803,WAGAIT BEACH,NT,Central
147368,822,WAGAIT BEACH,NT,Central
147368,810,WAGAMAN,NT,Central
204748,6215,WAGERUP,WA,Western
9172,2650,WAGGA WAGGA,NSW,Eastern
9172,2650,WAGGA WAGGA BC,NSW,Eastern
9172,2651,WAGGA WAGGA RAAF,NSW,Eastern
140272,3646,WAGGARANDALL,VIC,Southern
27328,6530,WAGGRAKINE,WA,Western
146008,6315,WAGIN,WA,Western
6492,2257,WAGSTAFFE,NSW,Eastern
26872,3687,WAHGUNYAH,VIC,Southern
147720,3608,WAHRING,VIC,Southern
150456,2076,WAHROONGA,NSW,Eastern
9540,5330,WAIKERIE,SA,Central
151392,6169,WAIKIKI,WA,Western
148960,3401,WAIL,VIC,Southern
11188,3887,WAIREWA,VIC,Southern
150456,2077,WAITARA,NSW,Eastern
148300,3544,WAITCHIE,VIC,Southern
151400,5211,WAITPINGA,SA,Central
33572,2443,WAITUI,NSW,Eastern
147368,822,WAK WAK,NT,Central
149528,2278,WAKEFIELD,NSW,Eastern
19376,2176,WAKELEY,NSW,Eastern
18728,2710,WAKOOL,NSW,Southern
148960,3385,WAL WAL,VIC,Southern
149836,2795,WALANG,NSW,Eastern
26872,2642,WALBUNDRIE,NSW,Southern
151528,2354,WALCHA,NSW,Eastern
151528,2354,WALCHA ROAD,NSW,Eastern
23160,3678,WALDARA,VIC,Southern
29288,2800,WALDEGRAVE,NSW,Eastern
204896,6510,WALEBING,WA,Western
148744,2832,WALGETT,NSW,Eastern
150380,6422,WALGOOLAN,WA,Western
150728,3825,WALHALLA,VIC,Southern
150728,3825,WALHALLA EAST,VIC,Southern
5020,2343,WALHALLOW,NSW,Eastern
27328,6528,WALKAWAY,WA,Western
148388,5238,WALKER FLAT,SA,Central
150676,3956,WALKERVILLE,VIC,Southern
9996,5081,WALKERVILLE,SA,Central
150676,3956,WALKERVILLE NORTH,VIC,Southern
150676,3956,WALKERVILLE SOUTH,VIC,Southern
147572,5098,WALKLEY HEIGHTS,SA,Central
148388,5254,WALL FLAT,SA,Central
26872,2659,WALLA WALLA,NSW,Southern
32704,822,MINJILANG,NT,Central
144388,5575,MINLATON,SA,Central
149528,2287,MINMI,NSW,Eastern
148300,3537,MINMINDIE,VIC,Southern
147708,2533,MINNAMURRA,NSW,Eastern
27328,6532,MINNENOOKA,WA,Western
31216,5654,MINNIPA,SA,Central
150380,6462,MINNIVALE,WA,Western
148744,2830,MINORE,NSW,Eastern
9996,5724,MINTABIE,SA,Central
147968,5415,MINTARO,SA,Central
16816,2566,MINTO,NSW,Eastern
16816,2566,MINTO DC,NSW,Eastern
16816,2566,MINTO HEIGHTS,NSW,Eastern
14444,5422,MINVALARA,SA,Central
148960,3392,MINYIP,VIC,Southern
148188,6725,MINYIRR,WA,Western
4152,3862,MIOWERA,VIC,Southern
149208,6330,MIRA MAR,WA,Western
151412,2548,MIRADOR,NSW,Eastern
148300,3596,MIRALIE,VIC,Southern
0,3415,MIRAM,VIC,Southern
35236,1490,MIRANDA,NSW,Eastern
35236,2228,MIRANDA,NSW,Eastern
9996,5700,MIRANDA,SA,Central
8820,2330,MIRANNIE,NSW,Eastern
150676,3871,MIRBOO,VIC,Southern
150728,3871,MIRBOO NORTH,VIC,Southern
149424,3722,MIRIMBAH,VIC,Southern
149528,2264,MIRRABOOKA,NSW,Eastern
3296,6061,MIRRABOOKA,WA,Western
3296,6941,MIRRABOOKA,WA,Western
20968,3294,MIRRANATWA,VIC,Southern
9172,2665,MIRROOL,NSW,Eastern
20364,2449,MISSABOTTI,NSW,Eastern
27004,2050,MISSENDEN ROAD,NSW,Eastern
31348,5062,MITCHAM,SA,Central
216632,3132,MITCHAM,VIC,Southern
216632,3132,MITCHAM NORTH,VIC,Southern
31348,5062,MITCHAM SHOPPING CENTRE,SA,Central
147368,832,MITCHELL,NT,Central
149836,2795,MITCHELL,NSW,Eastern
26460,2911,MITCHELL,ACT,Eastern
147840,5632,MITCHELL,SA,Central
17316,3355,MITCHELL PARK,VIC,Southern
145768,5043,MITCHELL PARK,SA,Central
151516,6740,MITCHELL PLATEAU,WA,Central
8820,2330,MITCHELLS FLAT,NSW,Eastern
149488,2430,MITCHELLS ISLAND,NSW,Eastern
147720,3608,MITCHELLSTOWN,VIC,Southern
149688,5602,MITCHELLVILLE,SA,Central
31216,5690,MITCHIDY MOOLA,SA,Central
149624,3573,MITIAMO,VIC,Southern
148960,3409,MITRE,VIC,Southern
26872,3701,MITTA MITTA,VIC,Southern
145288,2575,MITTAGONG,NSW,Eastern
148300,3490,MITTYACK,VIC,Southern
149624,2731,MOAMA,NSW,Southern
4284,5169,MOANA,SA,Central
148388,5253,MOBILONG,SA,Central
146008,6395,MOBRUP,WA,Western
4784,6603,MOCARDY,WA,Western
148960,3401,MOCKINYA,VIC,Southern
36268,5353,MOCULTA,SA,Central
9996,5092,MODBURY,SA,Central
9996,5092,MODBURY HEIGHTS,SA,Central
9996,5092,MODBURY NORTH,SA,Central
9996,5092,MODBURY NORTH DC,SA,Central
148996,3816,MODELLA,VIC,Southern
146268,3240,MODEWARRE,VIC,Southern
150728,3825,MOE,VIC,Southern
150728,3825,MOE SOUTH,VIC,Southern
17404,5278,MOERLONG,SA,Central
151412,2550,MOGAREEKA,NSW,Eastern
150572,2537,MOGENDOURA,NSW,Eastern
146268,3231,MOGGS CREEK,VIC,Southern
151528,2370,MOGGS SWAMP,NSW,Eastern
151412,2550,MOGILLA,NSW,Eastern
147716,3666,MOGLONEMBY,VIC,Southern
150572,2536,MOGO,NSW,Eastern
36356,2850,MOGO,NSW,Eastern
6492,2775,MOGO CREEK,NSW,Eastern
34544,2538,MOGOOD,NSW,Eastern
149488,2422,MOGRANI,NSW,Eastern
148744,2830,MOGRIGUY,NSW,Eastern
204896,6506,MOGUMBER,WA,Western
147368,810,MOIL,NT,Central
12560,7310,MOINA,TAS,Southern
148960,3381,MOKEPILLY,VIC,Southern
150380,6401,MOKINE,WA,Western
146008,6394,MOKUP,WA,Western
12560,7304,MOLE CREEK,TAS,Southern
151528,2372,MOLE RIVER,NSW,Eastern
57844,7140,MOLESWORTH,TAS,Southern
147720,3718,MOLESWORTH,VIC,Southern
145568,3472,MOLIAGUL,VIC,Southern
147720,3666,MOLKA,VIC,Southern
145488,5330,OVERLAND CORNER,SA,Central
9996,5082,OVINGHAM,SA,Central
147572,5460,OWEN,SA,Central
148808,2337,OWENS GAP,NSW,Eastern
148168,2100,OXFORD FALLS,NSW,Eastern
148744,2824,OXLEY,NSW,Eastern
149992,2903,OXLEY,ACT,Eastern
23160,3678,OXLEY,VIC,Southern
144548,2711,OXLEY,NSW,Southern
23160,3678,OXLEY FLATS,VIC,Southern
149488,2430,OXLEY ISLAND,NSW,Eastern
144488,2760,OXLEY PARK,NSW,Eastern
151528,2340,OXLEY VALE,NSW,Eastern
35236,2225,OYSTER BAY,NSW,Eastern
176,2318,OYSTER COVE,NSW,Eastern
57844,7150,OYSTER COVE,TAS,Southern
148960,3413,OZENKADNOOK,VIC,Southern
149480,3268,PAARATTE,VIC,Southern
149488,2428,PACIFIC PALMS,NSW,Eastern
148144,2880,PACKSADDLE,NSW,Central
145952,6025,PADBURY,WA,Western
149700,2021,PADDINGTON,NSW,Eastern
23528,2632,PADDYS FLAT,NSW,Eastern
145288,2577,PADDYS RIVER,NSW,Eastern
149992,2620,PADDYS RIVER,ACT,Eastern
15076,2653,PADDYS RIVER,NSW,Eastern
151676,2211,PADSTOW,NSW,Eastern
151676,2211,PADSTOW HEIGHTS,NSW,Eastern
147768,5271,PADTHAWAY,SA,Central
25900,5245,PAECHTOWN,SA,Central
26460,2614,PAGE,ACT,Eastern
148808,2337,PAGES CREEK,NSW,Eastern
4284,5172,PAGES FLAT,SA,Central
151528,2370,KOOKABOOKRA,NSW,Eastern
24856,6431,KOOKYNIE,WA,Western
148188,6733,KOOLAN ISLAND,WA,Western
27328,6623,KOOLANOOKA,WA,Western
6492,2256,KOOLEWONG,NSW,Eastern
31216,5661,KOOLGERA,SA,Central
148300,3597,KOOLOONONG,VIC,Southern
147368,822,KOOLPINYAH,NT,Central
147968,5464,KOOLUNGA,SA,Central
150380,6427,KOOLYANOBBING,WA,Western
144388,5575,KOOLYWURTIE,SA,Central
150380,6461,KOOMBERKINE,WA,Western
14444,5440,KOONAMORE,SA,Central
147708,2530,KOONAWARRA,NSW,Eastern
149424,3669,KOONDA,VIC,Southern
3296,6064,KOONDOOLA,WA,Western
148300,3580,KOONDROOK,VIC,Southern
149848,6056,KOONGAMIA,WA,Western
149688,5650,KOONGAWA,SA,Central
31216,5690,KOONIBBA,SA,Central
140272,3644,KOONOOMOO,VIC,Southern
147968,5417,KOONOONA,SA,Central
36268,5373,KOONUNGA,SA,Central
150676,3954,KOONWARRA,VIC,Southern
57844,7187,KOONYA,TAS,Southern
148112,2304,KOORAGANG,NSW,Eastern
149488,2430,KOORAINGHAT,NSW,Eastern
148148,2807,KOORAWATHA,NSW,Eastern
4784,6475,KOORDA,WA,Western
145568,3477,KOOREH,VIC,Southern
17404,5279,KOORINE,SA,Central
9172,2650,KOORINGAL,NSW,Eastern
